index,metric
accuracy,0.637979797979798
AU_ROC,0.4962955677943876
f1_score,0.22758620689655173
average_precision_score,0.24713629921953933
f_beta,0.22758620689655173
matthews_correlation_coefficient,-0.007726250260386003
precision,0.24220183486238533
recall,0.2146341463414634
true_positive_rate_TPR,0.2146341463414634
false_positive_rate_FPR,0.22204301075268817
false_discovery_rate,0.7577981651376147
false_negative_rate,0.7853658536585366
negative_predictive_value,0.7497409326424871
misclassification_error_rate,0.362020202020202
sensitivity,0.2146341463414634
specificity,0.7779569892473118
TP,132.0
FP,413.0
FN,483.0
TN,1447.0
